type,address,description,proxy
cex,0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,Gemini
cex,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini,Gemini 2
cex,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini,Gemini 3
cex,0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini,Gemini 4
cex,0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini,Gemini 5
cex,0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini,Gemini 6
cex,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini,Gemini 7
cex,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,Gemini,Gemini: GUSD Token
cex,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini,Gemini: Contract 1
cex,0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,Hotbit
cex,0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit,Hotbit 2
cex,0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,Hotbit,Hotbit 3
cex,x51836a753e344257b361519e948ffcaf5fb8d521,Indodax,Indodax 1
cex,x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax,Indodax 2
cex,0x91dca37856240e5e1906222ec79278b16420dc92,Indodax,Indodax 3
cex,0x7b8ffa4fe43d1b476cff9d0787fc0019ca54e421,Indodax,Indodax 4
cex,0xb1a34309af7f29b4195a6b589737f86e14597ddc,IndoEx LTD,IndoEx LTD
cex,0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,Kuna.io
cex,0x77ab999d1e9f152156b4411e1f3e2a42dab8cd6d,Kuna.io,Kuna.io 2
cex,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf,LAToken,LA Token
cex,0x0861fca546225fbf8806986d211c8398f7457734,LAToken,LAToken
cex,0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken,LAToken 2
cex,0x1b6c1a0e20af81b922cb454c3e52408496ee7201,LAToken,LAToken 3
cex,0x477b8d5ef7c2c42db84deb555419cd817c336b6f,MaiCoin,MaiCoin 1
cex,0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,Mercatox
cex,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,OTCBTC,OTCBTC
cex,0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,Peatio
cex,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano,Remitano 1
cex,0x2819c144d5946404c0516b6f817a960db37d4929,Remitano,Remitano 2
cex,0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift,ShapeShift 1
cex,0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift,ShapeShift 2
cex,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift,ShapeShift 3
cex,0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift,ShapeShift 4
cex,0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift,ShapeShift 5
cex,0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift,ShapeShift 6
cex,0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift,ShapeShift 7
cex,0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex,Poloniex
cex,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex,Poloniex 2
cex,0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex,Poloniex 3
cex,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex,Poloniex 4
cex,0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex,Poloniex: USDC
cex,0x91f6d99b232153cb655ad3e0d05e13ef505f6cd5,Sparrow,Sparrow Exchange 1
cex,xe855283086fbee485aecf2084345a91424c23954,Sparrow,Sparrow Exchange 2
cex,0xb2cc3cdd53fc9a1aeaf3a68edeba2736238ddc5d,TopBTC,TopBTC
cex,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit,Upbit
cex,0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Upbit,Upbit 2
cex,0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,Upbit,Upbit 3
cex,0xc9cf0ec93d764f5c9571fd12f764bae7fc87c84e,Upbit,Upbit: Cold Wallet
cex,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit.net,Yobit.net
