Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_CONTINENT,SEXE
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,705,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,..,5,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,11,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,12,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,83,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,75,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,44,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,33,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,735,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,695,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,..,999,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,5,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,7,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,74,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,71,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,53,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,51,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,656,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,578,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,..,5,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,..,999,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,..,999,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,9,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,13,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,71,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,59,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,39,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,33,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,667,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,654,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,..,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,14,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,93,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,62,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,43,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,45,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,620,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,560,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,..,999,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,9,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,12,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,63,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,62,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,23,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,30,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,494,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,418,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,..,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,9,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,74,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,71,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,30,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,31,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,640,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,574,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,..,5,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,..,999,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,5,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,..,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,69,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,59,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,35,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,44,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,724,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,656,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,5,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,50,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,41,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,26,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,23,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,615,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,547,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,6,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,6,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,144,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,97,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,56,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,53,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,994,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,857,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,..,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,5,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,43,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,27,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,13,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,14,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,696,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,556,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,..,5,2
